,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
274,2010,春源,股票,鋼鐵工業,1989/12/22
275,2012,春雨,股票,鋼鐵工業,1991/10/17
276,2013,中鋼構,股票,鋼鐵工業,1992/01/21
277,2014,中鴻,股票,鋼鐵工業,1992/02/20
278,2015,豐興,股票,鋼鐵工業,1992/05/25
279,2017,官田鋼,股票,鋼鐵工業,1992/11/02
280,2020,美亞,股票,鋼鐵工業,1993/04/27
281,2022,聚亨,股票,鋼鐵工業,1995/03/27
282,2023,燁輝,股票,鋼鐵工業,1995/07/28
283,2024,志聯,股票,鋼鐵工業,1995/12/30
284,2025,千興,股票,鋼鐵工業,1996/02/08
285,2027,大成鋼,股票,鋼鐵工業,1996/10/24
286,2028,威致,股票,鋼鐵工業,1996/12/13
287,2029,盛餘,股票,鋼鐵工業,1997/01/11
288,2030,彰源,股票,鋼鐵工業,1998/12/24
289,2031,新光鋼,股票,鋼鐵工業,2000/09/11
290,2032,新鋼,股票,鋼鐵工業,2000/09/11
291,2033,佳大,股票,鋼鐵工業,2000/09/11
292,2034,允強,股票,鋼鐵工業,2001/09/17
293,2038,海光,股票,鋼鐵工業,2008/12/30
294,2049,上銀,股票,電機機械,2009/06/26
295,2059,川湖,股票,電子零組件業,2008/06/25
296,2062,橋椿,股票,其他業,2007/11/16
297,2069,運錩,股票,鋼鐵工業,2016/03/22
298,2101,南港,股票,橡膠工業,1963/11/01
299,2102,泰豐,股票,橡膠工業,1979/07/16
300,2103,台橡,股票,橡膠工業,1982/09/25
301,2104,國際中橡,股票,橡膠工業,1986/07/15
302,2105,正新,股票,橡膠工業,1987/12/07
303,2106,建大,股票,橡膠工業,1990/12/20
304,2107,厚生,股票,橡膠工業,1992/03/03
305,2108,南帝,股票,橡膠工業,1992/10/27
306,2109,華豐,股票,橡膠工業,2000/05/08
307,2114,鑫永銓,股票,橡膠工業,2010/12/29
308,2115,六暉-KY,股票,汽車工業,2013/12/25
309,2201,裕隆,股票,汽車工業,1976/07/08
310,2204,中華,股票,汽車工業,1991/03/12
311,2206,三陽工業,股票,汽車工業,1996/07/29
312,2207,和泰車,股票,汽車工業,1997/02/25
313,2208,台船,股票,航運業,2008/12/22
314,2211,長榮鋼,股票,鋼鐵工業,2021/04/12
315,2227,裕日車,股票,汽車工業,2004/12/21
316,2228,劍麟,股票,汽車工業,2013/11/25
317,2231,為升,股票,汽車工業,2010/11/19
318,2233,宇隆,股票,汽車工業,2019/09/17
319,2236,百達-KY,股票,汽車工業,2015/06/03
320,2239,英利-KY,股票,汽車工業,2016/01/27
321,2241,艾姆勒,股票,電機機械,2020/08/26
322,2243,宏旭-KY,股票,汽車工業,2017/09/27
323,2247,汎德永業,股票,汽車工業,2020/10/12
324,2301,光寶科,股票,電腦及週邊設備業,1995/11/17
325,2302,麗正,股票,半導體業,1985/01/15
326,2303,聯電,股票,半導體業,1985/07/16
327,2305,全友,股票,電腦及週邊設備業,1988/10/21
328,2308,台達電,股票,電子零組件業,1988/12/19
329,2312,金寶,股票,其他電子業,1989/11/07
330,2313,華通,股票,電子零組件業,1990/07/24
331,2314,台揚,股票,通信網路業,1990/08/08
332,2316,楠梓電,股票,電子零組件業,1991/02/05
333,2317,鴻海,股票,其他電子業,1991/06/18
334,2321,東訊,股票,通信網路業,1991/11/08
335,2323,中環,股票,光電業,1992/02/17
336,2324,仁寶,股票,電腦及週邊設備業,1992/02/18
337,2327,國巨,股票,電子零組件業,1993/10/22
338,2328,廣宇,股票,電子零組件業,1993/11/09
339,2329,華泰,股票,半導體業,1994/04/20
340,2330,台積電,股票,半導體業,1994/09/05
341,2331,精英,股票,電腦及週邊設備業,1994/09/21
342,2332,友訊,股票,通信網路業,1994/10/17
343,2337,旺宏,股票,半導體業,1995/03/15
344,2338,光罩,股票,半導體業,1995/04/17
345,2340,光磊,股票,光電業,1995/05/02
346,2342,茂矽,股票,半導體業,1995/09/19
347,2344,華邦電,股票,半導體業,1995/10/18
348,2345,智邦,股票,通信網路業,1995/11/15
349,2347,聯強,股票,電子通路業,1995/12/13
350,2348,海悅,股票,其他業,1996/01/05
351,2349,錸德,股票,光電業,1996/04/23
352,2351,順德,股票,半導體業,1996/04/25
353,2352,佳世達,股票,電腦及週邊設備業,1996/07/22
354,2353,宏碁,股票,電腦及週邊設備業,1996/09/18
355,2354,鴻準,股票,其他電子業,1996/10/08
356,2355,敬鵬,股票,電子零組件業,1996/10/14
357,2356,英業達,股票,電腦及週邊設備業,1996/11/13
358,2357,華碩,股票,電腦及週邊設備業,1996/11/14
359,2358,廷鑫,股票,其他業,1996/12/18
360,2359,所羅門,股票,其他電子業,1996/12/19
361,2360,致茂,股票,其他電子業,1996/12/21
362,2362,藍天,股票,電腦及週邊設備業,1997/04/02
363,2363,矽統,股票,半導體業,1997/08/01
364,2364,倫飛,股票,電腦及週邊設備業,1997/08/11
365,2365,昆盈,股票,電腦及週邊設備業,1997/11/03
366,2367,燿華,股票,電子零組件業,1997/12/13
367,2368,金像電,股票,電子零組件業,1998/03/09
368,2369,菱生,股票,半導體業,1998/04/10
369,2371,大同,股票,電機機械,1962/02/09
370,2373,震旦行,股票,其他電子業,1991/08/01
371,2374,佳能,股票,光電業,1995/01/16
372,2375,凱美,股票,電子零組件業,1998/08/29
373,2376,技嘉,股票,電腦及週邊設備業,1998/09/24
374,2377,微星,股票,電腦及週邊設備業,1998/10/31
375,2379,瑞昱,股票,半導體業,1998/10/26
376,2380,虹光,股票,電腦及週邊設備業,1998/12/03
377,2382,廣達,股票,電腦及週邊設備業,1999/01/08
378,2383,台光電,股票,電子零組件業,1998/11/27
379,2385,群光,股票,電子零組件業,1999/01/05
380,2387,精元,股票,電腦及週邊設備業,1999/01/25
381,2388,威盛,股票,半導體業,1999/03/05
382,2390,云辰,股票,其他電子業,1999/06/15
383,2392,正崴,股票,電子零組件業,1999/09/20
384,2393,億光,股票,光電業,1999/11/04
385,2395,研華,股票,電腦及週邊設備業,1999/12/13
386,2397,友通,股票,電腦及週邊設備業,2000/01/15
